Timestamp,Which city or county are you supporting?,Your input being valued by the city / county when making decisions,Balance of responsibilities with the city / county,Open feedback: Please add any other feedback on working with the city or county. ,Onboarding process,Weekly meeting content,"Weekly meeting timing (days, time, length)",Communication about program phases,Coach's preparation and guidance,Communication from coaches,Resources or tools provided,Time commitment to support the project,"Open feedback: Please add any other feedback on onboarding, weekly meetings, team communications & resources, or coaches. ",Learning session content being relevant to the project,Learning session facilitators,Full cohort and/or breakout groups,Open feedback: Please add any other feedback on learning sessions.,Technical assistance support from the Centre for Public Impact (CPI),Technical assistance support from the Beeck Center,Technical assistance support from Google.org,Open feedback: Please add any other feedback on technical assistance from any of the project’s partners. ,How can we improve the project or better support you throughout the rest of this program?,How can we adjust / improve the community partner stipend to best support your involvement in the project?
8/29/2023 15:51:48,"Macon-Bibb County, GA",1,1,,2,3,1,2,1,1,1,1,,,,,,1,3,1,,"Grayson is GREAT! He keeps informed, on task, and ON TIME! I appreciate that he's sensitive to making the most of our meeting times. More importantly, due to his level of engagement and enthusiasm, our group is equally engaged and everyone participates. No doubt, Grayson is the group's guiderails and keeps us on track to ensure we deliver!","This was incredibly generous and helpful. Didn't expect it, but it definitely was appreciated."
9/5/2023 21:03:21,"Akron, OH",1,2,,1,2,2,2,1,1,1,3,,1,1,1,,1,1,1,,I appreciate ongoing guidance on our role and what meetings I can miss. It is challenging to fit them all in and I think I've been attending some that were not necessary.,"To cover our costs of spending time on the project, it would be helpful if the stipend was higher. "
9/6/2023 8:28:38,"Akron, OH",1,2,We are united in our desire to produce a viable product.,2,2,1,2,1,2,1,3,"The commitment is more than initially stated, but well worth the extra investment.",2,2,2,,2,2,2,,So far support feels adequate. I will have a better idea of supports that might have been lacking at the end.,"The stipend needs to be increased to cover the amount of time being devoted to the project, especially if the goal is to conduct wide-ranging research and testing where the participant are compensated at the suggested level. These stipends alone could account for over 50% of the given stipend leaving little compensation for the necessary time commitment of the community partner."
9/8/2023 13:10:17,"Miami-Dade County, FL",1,2,,1,2,1,1,1,1,2,2,,1,1,1,,1,1,1,,Solutions based focus I think is key in the next phase. And acknowledgements of the limits of the tool on the large forces of government. ,
9/25/2023 13:32:37,"Miami-Dade County, FL",1,1,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,
9/26/2023 11:53:25,"Miami-Dade County, FL",1,4,,1,3,1,1,1,1,1,1,,2,1,2,,1,1,1,,,
